pass,members,image_id,present,seeded,stratum,driver,exhaustive
Backpack,backpack,2368073,0,0,boundary,stop sign,no
Backpack,backpack,2368814,0,0,random,bird,no
Backpack,backpack,2368984,1,0,random,bus,no
Backpack,backpack,2369018,0,0,boundary,kite,no
Backpack,backpack,2370144,0,0,random,bowl,no
Backpack,backpack,2370271,0,0,random,bird,yes
Backpack,backpack,2370802,0,0,random,stop sign,yes
Backpack,backpack,2372204,0,0,random,bowl,no
Backpack,backpack,2372245,0,0,random,stop sign,no
Backpack,backpack,2372457,0,0,boundary,spoon,no
Backpack,backpack,2373243,0,0,random,bird,no
Backpack,backpack,2374137,0,0,random,dog,no
Backpack,backpack,2374487,0,0,boundary,stop sign,yes
Backpack,backpack,2375949,0,0,random,cup,no
Backpack,backpack,2376171,0,0,random,bicycle,no
Backpack,backpack,2376806,0,0,boundary,stop sign,yes
Backpack,backpack,2379036,0,0,random,kite,no
Backpack,backpack,2379050,0,0,boundary,dog,yes
Backpack,backpack,2379075,0,0,boundary,dog,no
Backpack,backpack,2379254,0,0,random,dog,yes
Backpack,backpack,2379377,0,0,random,bird,no
Backpack,backpack,2379431,0,0,random,bus,yes
Backpack,backpack,2380089,0,0,boundary,kite,yes
Backpack,backpack,2380376,0,0,random,car,no
Backpack,backpack,2380685,0,0,boundary,sink,no
Backpack,backpack,2381000,0,0,random,cup,yes
Backpack,backpack,2382264,0,0,random,dog,no
Backpack,backpack,2382828,0,0,random,dog,yes
Backpack,backpack,2383506,0,0,boundary,sink,yes
Backpack,backpack,2383707,0,0,boundary,kite,no
Backpack,backpack,2384185,0,0,random,backpack,no
Backpack,backpack,2384924,0,0,boundary,truck,yes
Backpack,backpack,2385477,0,0,random,kite,no
Backpack,backpack,2385504,0,0,boundary,kite,yes
Backpack,backpack,2386347,0,0,random,bowl,yes
Backpack,backpack,2386624,0,0,random,dog,yes
Backpack,backpack,2386652,0,0,random,bird,yes
Backpack,backpack,2387068,0,0,boundary,kite,no
Backpack,backpack,2387690,0,0,random,bus,yes
Backpack,backpack,2388314,0,0,boundary,bench,yes
Backpack,backpack,2388486,0,0,random,bowl,yes
Backpack,backpack,2389518,0,0,random,boat,no
Backpack,backpack,2391377,0,0,boundary,kite,no
Backpack,backpack,2391765,0,0,boundary,chair,yes
Backpack,backpack,2392094,0,0,random,truck,yes
Backpack,backpack,2392128,0,0,boundary,stop sign,yes
Backpack,backpack,2392264,0,0,boundary,stop sign,no
Backpack,backpack,2392277,0,0,random,bowl,no
Backpack,backpack,2392337,0,0,boundary,sink,yes
Backpack,backpack,2392420,0,0,boundary,vase,yes
Backpack,backpack,2392480,0,0,random,bowl,no
Backpack,backpack,2392734,0,0,random,kite,yes
Backpack,backpack,2392807,0,0,random,bus,yes
Backpack,backpack,2393325,0,0,random,cup,yes
Backpack,backpack,2393671,0,0,boundary,dog,yes
Backpack,backpack,2393732,0,0,boundary,stop sign,no
Backpack,backpack,2393864,0,0,boundary,fire hydrant,yes
Backpack,backpack,2393952,0,0,boundary,sink,no
Backpack,backpack,2394130,0,0,boundary,kite,yes
Backpack,backpack,2394898,0,0,boundary,dog,no
Backpack,backpack,2395379,0,0,random,sink,no
Backpack,backpack,2395745,0,0,boundary,kite,no
Backpack,backpack,2396098,0,0,random,bench,yes
Backpack,backpack,2398287,0,0,boundary,bowl,yes
Backpack,backpack,2398807,0,0,boundary,stop sign,no
Backpack,backpack,2398852,0,0,random,knife,no
Backpack,backpack,2399091,0,0,boundary,sink,no
Backpack,backpack,2399434,0,0,random,bowl,no
Backpack,backpack,2399496,0,0,random,kite,no
Backpack,backpack,2399554,0,0,boundary,sink,no
Backpack,backpack,2400101,0,0,boundary,kite,no
Backpack,backpack,2400821,0,0,boundary,sink,yes
Backpack,backpack,2402404,0,0,random,umbrella,no
Backpack,backpack,2402410,0,0,boundary,stop sign,no
Backpack,backpack,2403285,0,0,random,kite,yes
Backpack,backpack,2404693,0,0,boundary,kite,no
Backpack,backpack,2406950,0,0,random,bowl,no
Backpack,backpack,2407502,0,0,boundary,spoon,yes
Backpack,backpack,2407548,0,0,boundary,bus,no
Backpack,backpack,2407927,0,0,boundary,bowl,no
Backpack,backpack,2408671,0,0,random,bowl,yes
Backpack,backpack,2409231,0,0,random,bowl,no
Backpack,backpack,2410026,0,0,random,kite,no
Backpack,backpack,2410237,0,0,random,fork,yes
Backpack,backpack,2410471,0,0,random,bird,no
Backpack,backpack,2410628,0,0,boundary,dog,no
Backpack,backpack,2411277,0,0,random,bowl,no
Backpack,backpack,2411445,0,0,random,bicycle,no
Backpack,backpack,2411912,0,0,boundary,stop sign,yes
Backpack,backpack,2413072,0,0,boundary,stop sign,no
Backpack,backpack,2413407,0,0,random,spoon,no
Backpack,backpack,2413495,0,0,boundary,stop sign,yes
Backpack,backpack,2415129,0,0,random,kite,yes
Backpack,backpack,2415598,0,0,boundary,sink,no
Backpack,backpack,2416176,0,0,random,bus,no
Backpack,backpack,2416246,0,0,boundary,stop sign,yes
Backpack,backpack,2416293,0,0,random,kite,yes
Backpack,backpack,2416508,0,0,random,bird,no
Backpack,backpack,2416700,0,0,boundary,cell phone,yes
Backpack,backpack,2417271,0,0,boundary,cell phone,yes
Backpack,backpack,2417678,0,0,boundary,kite,no
Backpack,backpack,2417852,0,0,boundary,boat,no
Bench,bench,655,0,0,random,boat,no
Bench,bench,1490,0,0,random,bench,no
Bench,bench,1556,0,0,random,car,no
Bench,bench,1986,0,0,boundary,cell phone,no
Bench,bench,2360,0,0,boundary,stop sign,no
Bench,bench,3561,0,0,boundary,chair,no
Bench,bench,3801,0,0,random,bench,no
Bench,bench,4185,0,0,boundary,stop sign,no
Bench,bench,4214,0,0,random,fork,no
Bench,bench,61589,0,0,random,kite,no
Bench,bench,497980,0,0,random,bench,no
Bench,bench,498270,1,0,boundary,boat,no
Bench,bench,1159420,0,0,boundary,truck,yes
Bench,bench,1159799,0,0,random,bowl,no
Bench,bench,1592013,0,0,boundary,bench,yes
Bench,bench,1592557,0,0,random,fork,no
Bench,bench,1593184,0,0,random,dog,yes
Bench,bench,2315792,0,0,boundary,bench,yes
Bench,bench,2315796,0,0,random,car,no
Bench,bench,2316043,0,0,random,car,yes
Bench,bench,2316125,0,0,boundary,kite,no
Bench,bench,2316533,0,0,random,kite,yes
Bench,bench,2318153,0,0,random,fork,yes
Bench,bench,2320159,0,0,random,spoon,yes
Bench,bench,2320550,0,0,random,bench,yes
Bench,bench,2321487,0,0,random,bird,yes
Bench,bench,2322248,0,0,boundary,kite,yes
Bench,bench,2322535,0,0,boundary,kite,yes
Bench,bench,2322849,0,0,boundary,backpack,no
Bench,bench,2323085,0,0,random,kite,yes
Bench,bench,2323658,0,0,boundary,dog,no
Bench,bench,2323842,0,0,boundary,kite,no
Bench,bench,2325332,0,0,boundary,truck,yes
Bench,bench,2325379,0,0,boundary,kite,no
Bench,bench,2325700,0,0,boundary,kite,yes
Bench,bench,2326762,0,0,boundary,sink,no
Bench,bench,2327098,0,0,boundary,sink,no
Bench,bench,2327398,0,0,boundary,kite,yes
Bench,bench,2327535,0,0,random,cup,no
Bench,bench,2328476,0,0,random,bench,no
Bench,bench,2329296,0,0,boundary,stop sign,yes
Bench,bench,2329538,0,0,random,bench,no
Bench,bench,2330568,0,0,boundary,bus,yes
Bench,bench,2331220,0,0,boundary,kite,no
Bench,bench,2332648,0,0,random,sink,no
Bench,bench,2333001,0,0,boundary,kite,yes
Bench,bench,2334397,0,0,random,bowl,no
Bench,bench,2334729,0,0,random,bus,no
Bench,bench,2334823,0,0,random,kite,yes
Bench,bench,2334934,0,0,boundary,kite,yes
Bench,bench,2335019,0,0,random,bench,no
Bench,bench,2336335,0,0,random,car,no
Bench,bench,2336569,0,0,boundary,stop sign,yes
Bench,bench,2336745,0,0,boundary,bus,no
Bench,bench,2338255,1,0,boundary,bench,yes
Bench,bench,2338452,0,0,random,bird,yes
Bench,bench,2339643,0,0,boundary,kite,yes
Bench,bench,2340056,0,0,random,knife,yes
Bench,bench,2340667,0,0,random,bicycle,no
Bench,bench,2341076,0,0,random,bowl,yes
Bench,bench,2341258,0,0,random,bench,no
Bench,bench,2342757,0,0,random,car,no
Bench,bench,2343133,0,0,random,bench,no
Bench,bench,2343839,0,0,boundary,stop sign,yes
Bench,bench,2346019,0,0,boundary,stop sign,yes
Bench,bench,2346929,0,0,boundary,bus,no
Bench,bench,2348108,0,0,boundary,stop sign,no
Bench,bench,2350334,0,0,boundary,knife,yes
Bench,bench,2350610,0,0,boundary,kite,yes
Bench,bench,2352095,0,0,random,bus,yes
Bench,bench,2352709,0,0,boundary,kite,no
Bench,bench,2352911,0,0,random,bowl,no
Bench,bench,2353402,0,0,random,bus,no
Bench,bench,2353986,0,0,boundary,kite,no
Bench,bench,2354790,0,0,boundary,bus,yes
Bench,bench,2355650,0,0,boundary,stop sign,no
Bench,bench,2355890,0,0,boundary,stop sign,yes
Bench,bench,2357470,0,0,random,dog,yes
Bench,bench,2357898,0,0,random,bench,no
Bench,bench,2358000,0,0,boundary,cell phone,yes
Bench,bench,2358239,0,0,random,bird,yes
Bench,bench,2358316,0,0,boundary,sink,yes
Bench,bench,2358419,0,0,random,bus,no
Bench,bench,2359994,0,0,random,bus,no
Bench,bench,2360117,0,0,boundary,kite,yes
Bench,bench,2360975,0,0,boundary,kite,yes
Bench,bench,2361029,0,0,boundary,cell phone,no
Bench,bench,2361524,0,0,random,boat,yes
Bench,bench,2362065,0,0,boundary,sink,yes
Bench,bench,2362762,0,0,boundary,vase,yes
Bench,bench,2363160,0,0,random,bird,yes
Bench,bench,2363995,0,0,boundary,sink,no
Bench,bench,2364216,0,0,random,bus,yes
Bench,bench,2364952,0,0,random,bird,yes
Bench,bench,2365421,0,0,boundary,cell phone,yes
Bench,bench,2366442,0,0,random,bowl,yes
Bench,bench,2367117,0,0,boundary,kite,no
Bench,bench,2367901,0,0,boundary,stop sign,no
Bench,bench,2368073,0,0,boundary,stop sign,no
Bench,bench,2368814,0,0,random,bird,no
Bench,bench,2368984,0,0,random,bus,no
Bench,bench,2369018,0,0,boundary,kite,no
Bench,bench,2370144,0,0,random,bowl,no
Bench,bench,2370271,0,0,random,bird,yes
Bench,bench,2370802,0,0,random,stop sign,yes
Bench,bench,2372204,0,0,random,bowl,no
Bench,bench,2372245,0,0,random,stop sign,no
Bench,bench,2372457,0,0,boundary,spoon,no
Bench,bench,2373243,0,0,random,bird,no
Bench,bench,2374137,0,0,random,dog,no
Bench,bench,2374487,0,0,boundary,stop sign,yes
Bench,bench,2375949,0,0,random,cup,no
Bench,bench,2376171,0,0,random,bicycle,no
Bench,bench,2376806,0,0,boundary,stop sign,yes
Bench,bench,2379036,0,0,random,kite,no
Bench,bench,2379050,0,0,boundary,dog,yes
Bench,bench,2379075,0,0,boundary,dog,no
Bench,bench,2379254,0,0,random,dog,yes
Bench,bench,2379377,0,0,random,bird,no
Bench,bench,2379431,0,0,random,bus,yes
Bench,bench,2380089,0,0,boundary,kite,yes
Bench,bench,2380376,0,0,random,car,no
Bench,bench,2380685,0,0,boundary,sink,no
Bench,bench,2381000,0,0,random,cup,yes
Bench,bench,2382264,0,0,random,dog,no
Bench,bench,2382828,0,0,random,dog,yes
Bench,bench,2383506,0,0,boundary,sink,yes
Bench,bench,2383707,0,0,boundary,kite,no
Bench,bench,2384185,0,0,random,backpack,no
Bench,bench,2384924,0,0,boundary,truck,yes
Bench,bench,2385477,0,0,random,kite,no
Bench,bench,2385504,0,0,boundary,kite,yes
Bench,bench,2386347,1,0,random,bowl,yes
Bench,bench,2386624,0,0,random,dog,yes
Bench,bench,2386652,0,0,random,bird,yes
Bench,bench,2387068,0,0,boundary,kite,no
Bench,bench,2387690,0,0,random,bus,yes
Bench,bench,2388314,0,0,boundary,bench,yes
Bench,bench,2388486,0,0,random,bowl,yes
Bench,bench,2389518,0,0,random,boat,no
Bench,bench,2391377,0,0,boundary,kite,no
Bench,bench,2391765,0,0,boundary,chair,yes
Bench,bench,2392094,0,0,random,truck,yes
Bench,bench,2392128,0,0,boundary,stop sign,yes
Bench,bench,2392264,0,0,boundary,stop sign,no
Bench,bench,2392277,0,0,random,bowl,no
Bench,bench,2392337,0,0,boundary,sink,yes
Bench,bench,2392420,0,0,boundary,vase,yes
Bench,bench,2392480,0,0,random,bowl,no
Bench,bench,2392734,0,0,random,kite,yes
Bench,bench,2392807,0,0,random,bus,yes
Bench,bench,2393325,0,0,random,cup,yes
Bench,bench,2393671,0,0,boundary,dog,yes
Bench,bench,2393732,0,0,boundary,stop sign,no
Bench,bench,2393864,0,0,boundary,fire hydrant,yes
Bench,bench,2393952,0,0,boundary,sink,no
Bench,bench,2394130,0,0,boundary,kite,yes
Bench,bench,2394898,0,0,boundary,dog,no
Bench,bench,2395379,0,0,random,sink,no
Bench,bench,2395745,0,0,boundary,kite,no
Bench,bench,2396098,0,0,random,bench,yes
Bench,bench,2398287,0,0,boundary,bowl,yes
Bench,bench,2398807,0,0,boundary,stop sign,no
Bench,bench,2398852,0,0,random,knife,no
Bench,bench,2399091,0,0,boundary,sink,no
Bench,bench,2399434,0,0,random,bowl,no
Bench,bench,2399496,0,0,random,kite,no
Bench,bench,2399554,0,0,boundary,sink,no
Bench,bench,2400101,0,0,boundary,kite,no
Bench,bench,2400821,0,0,boundary,sink,yes
Bench,bench,2402404,0,0,random,umbrella,no
Bench,bench,2402410,0,0,boundary,stop sign,no
Bench,bench,2403285,0,0,random,kite,yes
Bench,bench,2404693,0,0,boundary,kite,no
Bench,bench,2406950,0,0,random,bowl,no
Bench,bench,2407502,0,0,boundary,spoon,yes
Bench,bench,2407548,0,0,boundary,bus,no
Bench,bench,2407927,0,0,boundary,bowl,no
Bench,bench,2408671,0,0,random,bowl,yes
Bench,bench,2409231,1,0,random,bowl,no
Bench,bench,2410026,0,0,random,kite,no
Bench,bench,2410237,0,0,random,fork,yes
Bench,bench,2410471,0,0,random,bird,no
Bench,bench,2410628,0,0,boundary,dog,no
Bench,bench,2411277,0,0,random,bowl,no
Bench,bench,2411445,0,0,random,bicycle,no
Bench,bench,2411912,0,0,boundary,stop sign,yes
Bench,bench,2413072,0,0,boundary,stop sign,no
Bench,bench,2413407,0,0,random,spoon,no
Bench,bench,2413495,0,0,boundary,stop sign,yes
Bench,bench,2415129,0,0,random,kite,yes
Bench,bench,2415598,0,0,boundary,sink,no
Bench,bench,2416176,0,0,random,bus,no
Bench,bench,2416246,0,0,boundary,stop sign,yes
Bench,bench,2416293,0,0,random,kite,yes
Bench,bench,2416508,0,0,random,bird,no
Bench,bench,2416700,0,0,boundary,cell phone,yes
Bench,bench,2417271,0,0,boundary,cell phone,yes
Bench,bench,2417678,0,0,boundary,kite,no
Bench,bench,2417852,0,0,boundary,boat,no
Book,book,655,0,0,random,boat,no
Book,book,1490,0,0,random,bench,no
Book,book,1556,0,0,random,car,no
Book,book,1986,0,0,boundary,cell phone,no
Book,book,2360,0,0,boundary,stop sign,no
Book,book,3561,0,0,boundary,chair,no
Book,book,3801,0,0,random,bench,no
Book,book,4185,0,0,boundary,stop sign,no
Book,book,4214,0,0,random,fork,no
Book,book,61589,0,0,random,kite,no
Book,book,497980,0,0,random,bench,no
Book,book,498270,0,0,boundary,boat,no
Book,book,1159420,0,0,boundary,truck,yes
Book,book,1159799,0,0,random,bowl,no
Book,book,1592013,0,0,boundary,bench,yes
Book,book,1592557,0,0,random,fork,no
Book,book,1593184,1,0,random,dog,yes
Book,book,2315792,0,0,boundary,bench,yes
Book,book,2315796,0,0,random,car,no
Book,book,2316043,0,0,random,car,yes
Book,book,2316125,0,0,boundary,kite,no
Book,book,2316533,0,0,random,kite,yes
Book,book,2318153,0,0,random,fork,yes
Book,book,2320159,0,0,random,spoon,yes
Book,book,2320550,0,0,random,bench,yes
Book,book,2321487,0,0,random,bird,yes
Book,book,2322248,0,0,boundary,kite,yes
Book,book,2322535,0,0,boundary,kite,yes
Book,book,2322849,0,0,boundary,backpack,no
Book,book,2323085,0,0,random,kite,yes
Book,book,2323658,0,0,boundary,dog,no
Book,book,2323842,0,0,boundary,kite,no
Book,book,2325332,0,0,boundary,truck,yes
Book,book,2325379,0,0,boundary,kite,no
Book,book,2325700,0,0,boundary,kite,yes
Book,book,2326762,0,0,boundary,sink,no
Book,book,2327098,0,0,boundary,sink,no
Book,book,2327398,0,0,boundary,kite,yes
Book,book,2327535,1,0,random,cup,no
Book,book,2328476,0,0,random,bench,no
Book,book,2329296,0,0,boundary,stop sign,yes
Book,book,2329538,0,0,random,bench,no
Book,book,2330568,0,0,boundary,bus,yes
Book,book,2331220,0,0,boundary,kite,no
Book,book,2332648,0,0,random,sink,no
Book,book,2333001,0,0,boundary,kite,yes
Book,book,2334397,0,0,random,bowl,no
Book,book,2334729,0,0,random,bus,no
Book,book,2334823,0,0,random,kite,yes
Book,book,2334934,0,0,boundary,kite,yes
Book,book,2335019,0,0,random,bench,no
Book,book,2336335,0,0,random,car,no
Book,book,2336569,0,0,boundary,stop sign,yes
Book,book,2336745,0,0,boundary,bus,no
Book,book,2338255,0,0,boundary,bench,yes
Book,book,2338452,0,0,random,bird,yes
Book,book,2339643,0,0,boundary,kite,yes
Book,book,2340056,0,0,random,knife,yes
Book,book,2340667,0,0,random,bicycle,no
Book,book,2341076,0,0,random,bowl,yes
Book,book,2341258,0,0,random,bench,no
Book,book,2342757,0,0,random,car,no
Book,book,2343133,0,0,random,bench,no
Book,book,2343839,0,0,boundary,stop sign,yes
Book,book,2346019,0,0,boundary,stop sign,yes
Book,book,2346929,0,0,boundary,bus,no
Book,book,2348108,0,0,boundary,stop sign,no
Book,book,2350334,0,0,boundary,knife,yes
Book,book,2350610,0,0,boundary,kite,yes
Book,book,2352095,0,0,random,bus,yes
Book,book,2352709,0,0,boundary,kite,no
Book,book,2352911,0,0,random,bowl,no
Book,book,2353402,0,0,random,bus,no
Book,book,2353986,0,0,boundary,kite,no
Book,book,2354790,0,0,boundary,bus,yes
Book,book,2355650,0,0,boundary,stop sign,no
Book,book,2355890,0,0,boundary,stop sign,yes
Book,book,2357470,0,0,random,dog,yes
Book,book,2357898,0,0,random,bench,no
Book,book,2358000,0,0,boundary,cell phone,yes
Book,book,2358239,0,0,random,bird,yes
Book,book,2358316,0,0,boundary,sink,yes
Book,book,2358419,0,0,random,bus,no
Book,book,2359994,0,0,random,bus,no
Book,book,2360117,0,0,boundary,kite,yes
Book,book,2360975,0,0,boundary,kite,yes
Book,book,2361029,0,0,boundary,cell phone,no
Book,book,2361524,0,0,random,boat,yes
Book,book,2362065,0,0,boundary,sink,yes
Book,book,2362762,0,0,boundary,vase,yes
Book,book,2363160,0,0,random,bird,yes
Book,book,2363995,0,0,boundary,sink,no
Book,book,2364216,0,0,random,bus,yes
Book,book,2364952,0,0,random,bird,yes
Book,book,2365421,0,0,boundary,cell phone,yes
Book,book,2366442,0,0,random,bowl,yes
Book,book,2367117,0,0,boundary,kite,no
Book,book,2367901,0,0,boundary,stop sign,no
Book,book,2368073,0,0,boundary,stop sign,no
Book,book,2368814,0,0,random,bird,no
Book,book,2368984,0,0,random,bus,no
Book,book,2369018,0,0,boundary,kite,no
Book,book,2370144,0,0,random,bowl,no
Book,book,2370271,0,0,random,bird,yes
Book,book,2370802,0,0,random,stop sign,yes
Book,book,2372204,0,0,random,bowl,no
Book,book,2372245,0,0,random,stop sign,no
Book,book,2372457,0,0,boundary,spoon,no
Book,book,2373243,0,0,random,bird,no
Book,book,2374137,0,0,random,dog,no
Book,book,2374487,0,0,boundary,stop sign,yes
Book,book,2375949,0,0,random,cup,no
Book,book,2376171,0,0,random,bicycle,no
Book,book,2376806,0,0,boundary,stop sign,yes
Book,book,2379036,0,0,random,kite,no
Book,book,2379050,0,0,boundary,dog,yes
Book,book,2379075,0,0,boundary,dog,no
Book,book,2379254,0,0,random,dog,yes
Book,book,2379377,0,0,random,bird,no
Book,book,2379431,0,0,random,bus,yes
Book,book,2380089,0,0,boundary,kite,yes
Book,book,2380376,0,0,random,car,no
Book,book,2380685,0,0,boundary,sink,no
Book,book,2381000,0,0,random,cup,yes
Book,book,2382264,0,0,random,dog,no
Book,book,2382828,0,0,random,dog,yes
Book,book,2383506,0,0,boundary,sink,yes
Book,book,2383707,0,0,boundary,kite,no
Book,book,2384185,0,0,random,backpack,no
Book,book,2384924,0,0,boundary,truck,yes
Book,book,2385477,0,0,random,kite,no
Book,book,2385504,0,0,boundary,kite,yes
Book,book,2386347,0,0,random,bowl,yes
Book,book,2386624,0,0,random,dog,yes
Book,book,2386652,0,0,random,bird,yes
Book,book,2387068,0,0,boundary,kite,no
Book,book,2387690,0,0,random,bus,yes
Book,book,2388314,0,0,boundary,bench,yes
Book,book,2388486,0,0,random,bowl,yes
Book,book,2389518,0,0,random,boat,no
Book,book,2391377,0,0,boundary,kite,no
Book,book,2391765,0,0,boundary,chair,yes
Book,book,2392094,0,0,random,truck,yes
Book,book,2392128,0,0,boundary,stop sign,yes
Book,book,2392264,0,0,boundary,stop sign,no
Book,book,2392277,0,0,random,bowl,no
Book,book,2392337,0,0,boundary,sink,yes
Book,book,2392420,0,0,boundary,vase,yes
Book,book,2392480,0,0,random,bowl,no
Book,book,2392734,0,0,random,kite,yes
Book,book,2392807,0,0,random,bus,yes
Book,book,2393325,0,0,random,cup,yes
Book,book,2393671,0,0,boundary,dog,yes
Book,book,2393732,0,0,boundary,stop sign,no
Book,book,2393864,0,0,boundary,fire hydrant,yes
Book,book,2393952,0,0,boundary,sink,no
Book,book,2394130,0,0,boundary,kite,yes
Book,book,2394898,0,0,boundary,dog,no
Book,book,2395379,0,0,random,sink,no
Book,book,2395745,0,0,boundary,kite,no
Book,book,2396098,0,0,random,bench,yes
Book,book,2398287,0,0,boundary,bowl,yes
Book,book,2398807,0,0,boundary,stop sign,no
Book,book,2398852,0,0,random,knife,no
Book,book,2399091,0,0,boundary,sink,no
Book,book,2399434,0,0,random,bowl,no
Book,book,2399496,0,0,random,kite,no
Book,book,2399554,0,0,boundary,sink,no
Book,book,2400101,0,0,boundary,kite,no
Book,book,2400821,0,0,boundary,sink,yes
Book,book,2402404,0,0,random,umbrella,no
Book,book,2402410,0,0,boundary,stop sign,no
Book,book,2403285,0,0,random,kite,yes
Book,book,2404693,0,0,boundary,kite,no
Book,book,2406950,0,0,random,bowl,no
Book,book,2407502,0,0,boundary,spoon,yes
Book,book,2407548,0,0,boundary,bus,no
Book,book,2407927,0,0,boundary,bowl,no
Book,book,2408671,0,0,random,bowl,yes
Book,book,2409231,0,0,random,bowl,no
Book,book,2410026,0,0,random,kite,no
Book,book,2410237,0,0,random,fork,yes
Book,book,2410471,0,0,random,bird,no
